BehaviorSpace results (NetLogo 5.0.4),,,,,,,,,,,,,,,,num-cliques,social-butterflies?,,,,infection-chance
Safe_Sex_Attitudes_and_Behaviors-modelingcommons-tue.nlogo,,,,min-pxcor,max-pxcor,,,,,,,,,,,5,FALSE,,,,30
infect-1-5cliquesof7-4friends-nobutterflies-femalesymp,,,,-15,15,,,,,,,,,,,clique-size,,avg-female-condom-intention,,,symptomatic?
06/23/2013 20:20:59:378 -0700,,,,min-pycor,max-pycor,,,,,,,,,,,7,,80,,,"""females-symptomatic?"""
,,,,-15,15,,,,,,,,,,,avg-num-friends,,avg-male-condom-intention,,,show-labels?
,,,,,,,,,,,,,,,,4,,20,,,FALSE
,,,,,,,,,,,,,,,,,,,,,
[run number],%-receive-condom-sex-ed,avg-mesosystem-condom-encouragement,[step],%infected,%M-infected,%F-infected,avg-safe-sex-likelihood,avg-attitude,avg-justification,avg-certainty,,avg-male-safe-sex-likelihood,avg-female-safe-sex-likelihood,avg-male-attitude,avg-female-attitude,avg-male-justification,avg-female-justification,,,avg-male-certainty,avg-female-certainty
60,20,30,786,2.857142857,0,5.882352941,37.84034805,49.25212466,2.857142857,99.99879829,,23.46733755,53.05882975,21.93467509,78.17648303,0,5.882352941,,,100,99.9975259
61,20,40,671,2.857142857,0,5.882352941,39.22954245,52.03051348,2.857142857,99.99988534,,23.49129659,55.89356748,21.98259318,83.84595849,0,5.882352941,,,99.99977706,100
62,20,40,709,34.28571429,5.555555556,64.70588235,48.70305441,56.6918231,31.42857143,99.99815764,,24.00413354,74.85485297,23.00826709,92.35676477,0,64.70588235,,,99.99641763,100
63,20,40,692,2.857142857,0,5.882352941,38.14774833,49.86692522,2.857142857,99.998423,,23.61581991,53.53449605,22.23163983,79.12781564,0,5.882352941,,,99.99693362,100
64,20,40,648,22.85714286,5.555555556,41.17647059,44.80585878,54.61171756,20,99.99848851,,24.07339637,66.7578778,23.14679274,87.92752031,0,41.17647059,,,99.99706099,100
65,20,40,672,2.857142857,0,5.882352941,38.51988088,50.61119033,2.857142857,99.99810609,,23.75788632,54.15022806,22.51577263,80.35927966,0,5.882352941,,,99.9963174,100
66,20,50,563,2.857142857,0,5.882352941,38.57956113,50.73055082,2.857142857,99.99727848,,24.38296416,53.61125203,23.76592832,79.28132759,0,5.882352941,,,99.99470815,100
67,20,50,578,20,5.555555556,35.29411765,43.50997484,53.4485211,17.14285714,99.9975043,,24.12354789,64.03677984,23.24709578,85.42650085,0,35.29411765,,,100,99.99486179
68,20,50,571,20,5.555555556,35.29411765,43.58189001,53.59235146,17.14285714,99.99735959,,23.01365537,65.36002082,21.02731073,88.07298281,0,35.29411765,,,100,99.99456387
69,20,50,564,2.857142857,0,5.882352941,38.10003503,49.77149286,2.857142857,99.99990062,,23.3025945,53.76791324,21.605189,79.59463812,0,5.882352941,,,100,99.99979539
70,20,50,583,2.857142857,0,5.882352941,37.76250359,49.09643575,2.857142857,99.99921941,,23.25488159,53.12351512,21.50976318,78.30585377,0,5.882352941,,,99.99848218,100
71,20,60,517,2.857142857,0,5.882352941,37.73453154,49.04049165,2.857142857,99.99753879,,24.22256675,52.04131779,23.4451335,76.14145911,0,5.882352941,,,100,99.99493281
72,20,60,503,25.71428571,5.555555556,47.05882353,44.14392308,53.28784615,20,99.99772145,,23.34146498,66.17005517,21.68292997,86.75187505,0,41.17647059,,,100,99.99530886
73,20,60,516,2.857142857,0,5.882352941,38.65101907,50.87346672,2.857142857,99.99989925,,23.56980735,54.61936089,22.13961471,81.29754532,0,5.882352941,,,99.99980409,100
74,20,60,530,2.857142857,0,5.882352941,38.44326852,50.4579656,2.857142857,99.99799006,,23.55299503,54.20944044,22.10599006,80.47770441,0,5.882352941,,,100,99.9958619
75,20,60,515,2.857142857,0,5.882352941,38.40105131,50.3735312,2.857142857,99.99841714,,24.19370545,53.4441234,23.3874109,78.94707033,0,5.882352941,,,99.99692222,100
76,20,70,412,2.857142857,0,5.882352941,39.21228085,51.99599026,2.857142857,99.99785454,,23.96674782,55.35460993,22.93349565,82.76804339,0,5.882352941,,,99.99582826,100
77,20,70,467,25.71428571,5.555555556,47.05882353,45.93490097,55.4412305,22.85714286,99.99763473,,23.63281125,69.54887831,22.2656225,90.56834486,0,47.05882353,,,100,99.99513033
78,20,70,441,2.857142857,0,5.882352941,38.50212004,50.57566864,2.857142857,99.99959304,,24.73403627,53.08009108,24.46807254,78.21900569,0,5.882352941,,,99.9992087,100
79,20,70,457,2.857142857,0,5.882352941,38.0975057,49.76643997,2.857142857,99.99767264,,22.92706453,54.16032576,20.85412906,80.37947505,0,5.882352941,,,99.99547458,100
80,20,70,488,20,5.555555556,35.29411765,43.47729839,53.23933723,17.43051908,99.99975161,,24.86066278,63.1890302,24.44165423,83.73100158,0.55934266,35.29411765,,,100,99.9994886
81,20,80,344,20,5.555555556,35.29411765,43.19497135,52.30236379,18.17515783,99.99790822,,23.14537038,64.42396062,20.28711509,86.20086241,2.007251332,35.29411765,,,99.99593266,100
82,20,80,340,17.14285714,5.555555556,29.41176471,41.88514097,51.6274248,14.28571429,99.99767234,,23.31876955,61.54365189,21.63753909,83.38142142,0,29.41176471,,,99.99547399,100
83,20,80,371,2.857142857,0,5.882352941,38.99980986,51.57104829,2.857142857,99.99943726,,23.75323989,55.14323689,22.50647977,82.34529731,0,5.882352941,,,100,99.99884141
84,20,80,371,2.857142857,0,5.882352941,37.63495142,48.84133142,2.857142857,99.99964993,,23.58679229,52.50947285,22.17358459,77.07776924,0,5.882352941,,,99.99931932,100
